Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-6,0.3,-15.1,,42,0,29.9,6.7,25.2,,,,,
2,-11.8,-4.1,-18.6,,53,0,28.8,5.9,14.4,,,,,
3,-5.8,3.4,-8.9,,42,0,29.9,8.7,14.4,,,,,
4,-6.1,-1.3,-10.8,,64,1.02,27.8,9.3,25.2,,,,,
5,-18.3,-10.4,-25.6,,69,1.02,29.9,4.1,7.2,,,,,
6,-23,-17.8,-26,,61,0,29.9,3.1,10.7,,,,,
7,-20.2,-14.2,-27.9,,49,0,29.9,5.9,14.4,,,,,
8,-13.9,-8.9,-25.1,,42,0,29.9,15.4,32.4,,,,,
9,-10.5,-6.2,-19.3,,49,0,29.9,8.1,18,,,,,
10,-16.4,-7.8,-22.1,,90,0.51,22.9,9.8,25.2,,,,,
11,-18.1,-14.3,-23.1,,70,0.51,29.9,4.4,10.7,,,,,
12,-12.9,-7.5,-22.8,,44,0,29.9,3.5,18,,,,,
13,-9,-1.2,-20.8,,35,0,29.9,9.1,18,,,,,
14,-8.2,-2.6,-16.9,,39,0,29.9,10.4,14.4,,,,,
15,-4.8,-0.5,-14.1,,55,0,29.9,6.3,18,,,,,
16,-2.4,5.4,-9,,54,0,29.9,10.4,14.4,,,,,
17,-0.1,6.2,-9,,44,0,29.9,2.8,10.7,,,,,
18,-1.6,7.7,-7.3,,62,0.25,21.2,7.2,18,,,,,
19,-7.7,-4.8,-9.8,,88,1.02,26.2,9.8,21.7,,,,,
20,-7.9,-4.6,-11.6,,73,0,29.9,12.6,28.7,,,,,
21,-2.9,3.1,-14.5,,33,0,29.9,9.8,25.2,,,,,
22,-1.1,6.6,-10.9,,30,0,29.9,6.7,7.2,,,,,
23,-1.6,4,-6.5,,49,0,29.9,6.7,10.7,,,,,
24,1.8,5.6,-5.2,,41,0,29.9,4.6,61.1,,,,,
25,3.6,9.3,-4.1,,39,0,29.9,8.1,18,,,,,
26,4.3,10.9,-0.7,,39,0,29.9,9.4,18,,,,,
27,4.1,10.5,-1.2,,55,0,29.9,7.2,10.7,,,,,
28,2.8,6.9,-1.6,,66,0,29.9,8.5,14.4,,,,,
29,4.8,9.2,-0.5,,51,0,29.9,13.5,18,,,,,
30,7,12.7,1.5,,46,0,29.9,8.1,18,,,,,
31,5.9,11.3,1.5,,58,0,29.9,11.7,28.7,,,,,
